naslov,izdano,dolzina,jezik
The Martian,February 11th 2014,384,English
Zen and the Art of Motorcycle Maintenance,April 25th 2006,540,English
The Firm,February 15th 2000,76,English
The Last Song,September 8th 2009,390,English
My Ántonia,February 20th 2000,232,English
Shatter Me,November 15th 2011,338,English
The Amber Spyglass,September 9th 2003,467,English
Notre-Dame de Paris,April 10th 2001,510,English
Доктор Живаго,March 18th 1997,592,English
"The life and strange surprizing adventures of Robinson Crusoe: of York, mariner: who lived twenty eight years all alone in an un-inhabited island on the coast of America, near the mouth of the great river of Oroonoque; having been cast on shore by shipwre",June 12th 2001,320,English
Inferno,December 9th 2003,490,English
Como agua para chocolate,September 16th 1993,222,English
Six of Crows,September 29th 2015,465,English
Breakfast at Tiffany's,1993,142,English
Room,September 13th 2010,321,English
Dragonfly in Amber,August 7th 2001,963,English
Breakfast of Champions,May 1999,303,English
The BFG,2001,199,English
"On the Origin of Species by Means of Natural Selection, or the Preservation of Favoured Races in the Struggle for Life",May 1st 2004,703,English
Daughter of Smoke &amp; Bone,September 27th 2011,418,English
A Fine Balance,November 30th 2001,603,English
The Strange Case of Dr Jekyll and Mr Hyde,September 2nd 2003,144,English
City of Heavenly Fire,May 27th 2014,725,English
Evermore,February 3rd 2009,301,English
The Subtle Knife,September 2018,370,English
Death of a Salesman,March 18th 1994,117,English
Eleven twenty-two sixty-three,November 8th 2011,849,English
La Peste,March 1991,308,English
Midnight in the Garden of Good and Evil,June 28th 1999,386,English
"The Tragicall Historie of Hamlet, Prince of Denmark",August 1st 2005,289,English
A Streetcar Named Desire,December 1st 1952,107,English
De Principatibus / Il Principe,June 1st 2003,140,English
Infinite Jest,2005,1088,English
Snow Flower and the Secret Fan,June 28th 2005,288,English
Faust. Eine Tragödie,July 1st 1988,327,English
Anna and the French Kiss,December 2nd 2010,372,English
The Remains of the Day,2005,258,English
A Feast for Crows,2011,1061,English
The Angel Experiment,May 5th 2006,445,English
Miss Peregrine's Home for Peculiar Children,June 7th 2011,352,English
Matched,November 30th 2010,369,English
Flowers in the Attic,1979,389,English
The Shipping News,2002,337,English
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",November 16th 2010,492,English
The Scarlet Pimpernel,February 28th 2005,182,English
Hopeless,December 19th 2012,410,English
Jonathan Strange &amp; Mr Norrell,August 1st 2006,1006,English
The Chosen,April 12th 1987,304,English
All the Light We Cannot See,May 6th 2014,531,English
High Fidelity,May 5th 1996,340,English
Blood Meridian: Or the Evening Redness in the West,May 1992,351,English
Artemis Fowl,April 1st 2003,396,English
Pippi Långstrump,April 21st 2005,160,English
The Tales of Beedle the Bard,December 4th 2008,109,English
The Virgin Suicides,2002,250,English
Der Vorleser,June 26th 1997,216,English
Nineteen Minutes,March 5th 2007,440,English
The House of Hades ,October 8th 2013,597,English
Shantaram,2004,936,English
"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",February 11th 2003,447,English
Redeeming Love,2007,479,English
The Age of Innocence,August 26th 2004,293,English
The Lost Symbol,September 15th 2009,509,English
The Host,May 6th 2008,620,English
The Grapes of Wrath,April 10th 2014,479,English
Betrayed,October 2nd 2007,310,English
En attendant Godot,2011,109,English
Northanger Abbey,March 3rd 2005,251,English
Neuromancer,July 1st 2000,292,English
A Court of Thorns and Roses,May 5th 2015,432,English
The Voyage of the Dawn Treader,September 1st 2006,248,English
Dubliners,March 15th 2001,207,English
"Lover Awakened (Black Dagger Brotherhood, #3)",September 5th 2006,434,English
Война и мир,June 25th 1998,1392,English
Divine Secrets of the Ya-Ya Sisterhood,December 7th 2004,383,English
The Waste Land,December 1st 2000,320,English
Everything Is Illuminated,April 1st 2003,276,English
Untamed: A House of Night Novel,September 23rd 2008,338,English
A Dance with Dragons,July 12th 2011,1125,English
Crown of Midnight,August 27th 2013,420,English
I Know Why the Caged Bird Sings,November 1993,289,English
To the Lighthouse,December 27th 1989,209,English
"I, Robot",June 2004,224,English
The Pearl,January 8th 2002,96,English
"The Twilight Collection (Twilight, #1-3)",November 15th 2007,1690,English
The One,May 6th 2014,323,English
The Jungle,April 1st 2003,335,English
Carrie,November 1st 2005,253,English
"I, Claudius",October 23rd 1989,468,English
Snow Falling on Cedars,September 26th 1995,460,English
Heir of Fire,September 2nd 2014,565,English
Voyager,August 7th 2001,870,English
Me Talk Pretty One Day,2001,272,English
Chosen: A House of Night Novel,March 4th 2008,307,English
A Room with a View,January 1st 2005,119,English
Bleak House,January 6th 2006,1017,English
Πολιτεία,February 25th 2003,416,English
The Last Battle,June 20th 2005,288,English
The Exorcist,February 1st 1994,385,English
Coraline,August 29th 2006,162,English
Demian: Die Geschichte einer Jugend,December 7th 1996,194,German
Aristotle and Dante Discover the Secrets of the Universe,February 21st 2012,359,English
The 5th Wave,May 7th 2013,457,English
The Iron King,January 19th 2010,363,English
Bloodlines,August 23rd 2011,421,English
